Unternehmen;Symbol;Valorennummer;Land;Handelswährung;Handels-platform;Papierart;Nennwert;Kotierungs-segment;Rechnungslegungsnorm;Nächste Generalversammlung;Jahresabschlussdatum;Revisionsorgan;Nachhaltigkeitsbericht Opting in;International anerkannter Standard;Primär-kotiert
Clariant AG;CLN;1214263;CH;CHF;XSWX;RS;3.70;International Reporting Standard;IFRS;07.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
COLTENE Holding AG;CLTN;2534325;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;31.03.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Comet Holding AG;COTN;36082699;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Compagnie de Saint-Gobain;GOB;490580;FR;CHF;XSWX;BS;4.00;International Reporting Standard;;;;PricewaterhouseCoopers Audit - FR;Nein;;false
Compagnie Financière Richemont SA;CFR;21048333;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;09.09.20;31.03.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
Compagnie financière Tradition S.A.;CFT;1434511;CH;CHF;XSWX;BS;2.50;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Conzzeta AG;CON;24401750;CH;CHF;XSWX;RS;2.00;Swiss Reporting Standard;Swiss GAAP FER;21.04.21;31.12.;KPMG AG - CH[501403];Nein;;true
COSMO Pharmaceuticals N.V.;COPN;32590356;NL;CHF;XSWX;RS;0.26;International Reporting Standard;IFRS;;31.12.;BDO Audit & Assurance BV - NL[1300031];Nein;;true
CPH Chemie + Papier Holding AG;CPHN;162471;CH;CHF;XSWX;RS;0.20;Swiss Reporting Standard;Swiss GAAP FER;18.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Crealogix Holding AG;CLXN;1111570;CH;CHF;XSWX;RS;8.00;Swiss Reporting Standard;Swiss GAAP FER;26.10.20;30.06.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Credit Suisse Group AG;CSGN;1213853;CH;CHF;XSWX;RS;0.04;International Reporting Standard;US GAAP;30.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
Datacolor AG;DCN;853104;CH;CHF;XSWX;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;09.12.20;30.09.;KPMG AG - CH[501403];Nein;;true
Dätwyler Holding AG;DAE;3048677;CH;CHF;XSWX;BS;0.05;Swiss Reporting Standard;Swiss GAAP FER;09.03.21;31.12.;KPMG AG - CH[501403];Ja;Global Reporting Initiative (GRI);true
DKSH Holding AG;DKSH;12667353;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
dormakaba Holding AG;DOKA;1179595;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;20.10.20;30.06.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Dottikon ES Holding AG;DESN;2073900;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;02.07.21;31.03.;KPMG AG - CH[501403];Nein;;true
Dufry AG;DUFN;2340545;CH;CHF;XSWX;RS;5.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Ja;Global Reporting Initiative (GRI);true
Edisun Power Europe AG;ESUN;2473640;CH;CHF;XSWX;RS;30.00;Swiss Reporting Standard;Swiss GAAP FER;23.04.21;31.12.;BDO AG - CH[500705];Nein;;true
EEII AG;EEII;716295;CH;CHF;XSWX;BS;7.10;Investmentgesellschaften;IFRS;;31.12.;BDO AG - CH[500705];Nein;;true
EFG International AG;EFGN;2226822;CH;CHF;XSWX;RS;0.50;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Eli Lilly and Company;LLY;947556;US;CHF;XSWX;RS;0.00;International Reporting Standard;;;;Ernst & Young LLP - US;Nein;;false
Elma Electronic AG;ELMN;531916;CH;CHF;XSWX;RS;11.00;Swiss Reporting Standard;Swiss GAAP FER;15.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Emmi AG;EMMN;1282989;CH;CHF;XSWX;RS;10.00;Swiss Reporting Standard;Swiss GAAP FER;15.04.21;31.12.;KPMG AG - CH[501403];Nein;;true
Ems-Chemie Holding AG;EMSN;1644035;CH;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Energiedienst Holding AG;EDHN;3965118;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;27.04.21;31.12.;KPMG AG - CH[501403];Nein;;true
ENR Russia Invest SA;RUS;3447695;CH;CHF;XSWX;BS;12.40;Investmentgesellschaften;IFRS;;31.12.;BDO AG - CH[500705];Nein;;true
EPH European Property Holdings;EPH;1673866;VG;USD;XSWX;RS;0.00;Immobiliengesellschaften;IFRS;;31.12.;Deloitte AG - CH[500420];Nein;;true
Evolva Holding SA;EVE;2121806;CH;CHF;XSWX;RS;0.05;International Reporting Standard;IFRS;08.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Feintool International Holding AG;FTON;932009;CH;CHF;XSWX;RS;10.00;International Reporting Standard;IFRS;20.04.21;31.12.;KPMG AG - CH[501403];Nein;;true
Flughafen Zürich AG;FHZN;31941693;CH;CHF;XSWX;RS;10.00;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Forbo Holding AG;FORN;354151;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;01.04.21;31.12.;KPMG AG - CH[501403];Nein;;true
Formulafirst Ltd.;FFI;1462983;VG;CHF;XSWX;BS;0.01;Investmentgesellschaften;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Fundamenta Real Estate AG;FREN;4582551;CH;CHF;XSWX;RS;6.00;Immobiliengesellschaften;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Galenica AG;GALE;36067446;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;12.05.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
GAM Holding AG;GAM;10265962;CH;CHF;XSWX;RS;0.05;International Reporting Standard;IFRS;;31.12.;KPMG AG - CH[501403];Nein;;true
Geberit AG;GEBN;3017040;CH;CHF;XSWX;RS;0.10;International Reporting Standard;IFRS;14.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
General Electric Co.;GE;933071;US;CHF;XSWX;RS;0.16;International Reporting Standard;;;;KPMG LLP - US;Nein;;false
Georg Fischer AG;FI-N;175230;CH;CHF;XSWX;RS;1.00;Swiss Reporting Standard;Swiss GAAP FER;21.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Givaudan SA;GIVN;1064593;CH;CHF;XSWX;RS;10.00;International Reporting Standard;IFRS;25.03.21;31.12.;Deloitte AG - CH[500420];Nein;;true
Glarner Kantonalbank;GLKBN;18939665;CH;CHF;XSWX;RS;10.00;Swiss Reporting Standard;Bankengesetz;23.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Goodyear Tire & Rubber Company;GT;935430;US;CHF;XSWX;RS;0.00;International Reporting Standard;;;;PricewaterhouseCoopers LLP - US;Nein;;false
Graubündner Kantonalbank;GRKP;134020;CH;CHF;XSWX;PC;100.00;Swiss Reporting Standard;Bankengesetz;24.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Groupe Minoteries SA;GMI;1294946;CH;CHF;XSWX;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Gurit Holding AG;GUR;801223;CH;CHF;XSWX;BS;50.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Ja;Global Reporting Initiative (GRI);true
HBM Healthcare Investments AG;HBMN;1262725;CH;CHF;XSWX;RS;49.50;Investmentgesellschaften;IFRS;18.06.21;31.03.;Ernst & Young AG - CH[500646];Nein;;true
Helvetia Holding AG;HELN;46664220;CH;CHF;XSWX;RS;0.02;International Reporting Standard;IFRS;30.04.21;31.12.;KPMG AG - CH[501403];Ja;Global Reporting Initiative (GRI);true
HIAG Immobilien Holding AG;HIAG;23951877;CH;CHF;XSWX;RS;1.00;Immobiliengesellschaften;Swiss GAAP FER;22.04.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Highlight Event and Entertainment AG;HLEE;358325;CH;CHF;XSWX;BS;9.00;International Reporting Standard;IFRS;;31.12.;BDO AG - CH[500705];Nein;;true
HOCHDORF Holding AG;HOCN;2466652;CH;CHF;XSWX;RS;10.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Nein;;true
Huber+Suhner AG;HUBN;3038073;CH;CHF;XSWX;RS;0.25;Swiss Reporting Standard;Swiss GAAP FER;31.03.21;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Hypothekarbank Lenzburg AG;HBLN;134160;CH;CHF;XSWX;RS;260.00;Swiss Reporting Standard;Bankengesetz;20.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Idorsia Ltd;IDIA;36346343;CH;CHF;XSWX;RS;0.05;International Reporting Standard;US GAAP;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
IGEA Pharma N.V.;IGPH;41217478;NL;CHF;XSWX;RS;0.01;International Reporting Standard;IFRS;;31.12.;Mazars N.V. - NL;Nein;;true
Implenia AG;IMPN;2386855;CH;CHF;XSWX;RS;1.02;International Reporting Standard;IFRS;30.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Ina Invest Holding AG;INA;52402695;CH;CHF;XSWX;RS;0.03;Immobiliengesellschaften;Swiss GAAP FER;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
INFICON Holding AG;IFCN;1102994;CH;CHF;XSWX;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;KPMG AG - CH[501403];Nein;;true
Interroll Holding AG;INRN;637289;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Intershop Holding AG;ISN;27377479;CH;CHF;XSWX;RS;10.00;Immobiliengesellschaften;Swiss GAAP FER;31.03.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Investis Holding SA;IREN;32509429;CH;CHF;XSWX;RS;0.10;Immobiliengesellschaften;Swiss GAAP FER;27.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
IVF HARTMANN Holding AG;VBSN;18762425;CH;CHF;XSWX;RS;1.75;Swiss Reporting Standard;Swiss GAAP FER;20.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Julius Bär Gruppe AG;BAER;10248496;CH;CHF;XSWX;RS;0.02;International Reporting Standard;IFRS;02.11.20;31.12.;KPMG AG - CH[501403];Nein;;true
Jungfraubahn Holding AG;JFN;1787578;CH;CHF;XSWX;RS;1.50;Swiss Reporting Standard;Swiss GAAP FER;;31.12.;BDO AG - CH[500705];Nein;;true
Kardex Holding AG;KARN;10083728;CH;CHF;XSWX;RS;0.45;Swiss Reporting Standard;Swiss GAAP FER;15.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Klingelnberg AG;KLIN;42046226;CH;CHF;XSWX;RS;5.00;Swiss Reporting Standard;Swiss GAAP FER;;31.03.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Komax Holding AG;KOMN;1070215;CH;CHF;XSWX;RS;0.10;Swiss Reporting Standard;Swiss GAAP FER;14.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Kudelski S.A.;KUD;1226836;CH;CHF;XSWX;BS;8.00;International Reporting Standard;IFRS;15.04.21;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
Kühne + Nagel International AG;KNIN;2523886;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;02.09.20;31.12.;Ernst & Young AG - CH[500646];Ja;Global Reporting Initiative (GRI);true
Kuros Biosciences Ltd.;KURN;32581411;CH;CHF;XSWX;RS;1.00;International Reporting Standard;IFRS;;31.12.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
LafargeHolcim Ltd;LHN;1221405;CH;CHF;XSWX;RS;2.00;International Reporting Standard;IFRS;;31.12.;Deloitte AG - CH[500420];Nein;;true
Lalique Group SA;LLQ;3381329;CH;CHF;XSWX;RS;0.20;International Reporting Standard;IFRS;;31.12.;Ernst & Young AG - CH[500646];Nein;;true
Landis+Gyr Group AG;LAND;37115349;CH;CHF;XSWX;RS;10.00;International Reporting Standard;US GAAP;;31.03.;PricewaterhouseCoopers AG - CH[500003];Nein;;true
