ISIN;CH0030252883;CH0030252909
SYMBOL;SLI;SLIC
NAME;SLI®;SLIC
;Price;Total Return
YTD Perf.%;    12.130;    12.440;
Date;Close;Close
08.01.2018; 1552.10;   2354.12;
05.01.2018; 1552.80;   2355.17;
04.01.2018; 1543.85;   2341.60;
03.01.2018; 1534.96;   2328.12;
29.12.2017; 1517.91;   2302.27;
28.12.2017; 1522.01;   2308.47;
27.12.2017; 1526.24;   2314.89;
22.12.2017; 1520.56;   2306.29;
21.12.2017; 1524.76;   2312.64;
20.12.2017; 1507.94;   2287.14;
19.12.2017; 1518.76;   2303.55;
18.12.2017; 1527.09;   2316.18;
15.12.2017; 1515.34;   2298.36;
14.12.2017; 1512.97;   2294.76;
13.12.2017; 1512.52;   2294.08;
12.12.2017; 1506.27;   2284.60;
11.12.2017; 1499.53;   2274.38;
08.12.2017; 1500.30;   2275.55;
07.12.2017; 1489.56;   2259.26;
06.12.2017; 1491.54;   2262.27;
05.12.2017; 1491.58;   2262.33;
04.12.2017; 1497.04;   2270.61;
01.12.2017; 1486.34;   2254.38;
30.11.2017; 1495.69;   2268.56;
29.11.2017; 1490.81;   2261.16;
28.11.2017; 1491.94;   2262.87;
27.11.2017; 1486.10;   2254.01;
24.11.2017; 1497.40;   2271.15;
23.11.2017; 1495.83;   2268.78;
22.11.2017; 1493.71;   2265.56;
21.11.2017; 1501.84;   2277.88;
20.11.2017; 1498.56;   2272.91;
17.11.2017; 1484.06;   2250.93;
16.11.2017; 1481.28;   2246.70;
15.11.2017; 1469.00;   2228.07;
14.11.2017; 1477.85;   2241.50;
13.11.2017; 1481.90;   2247.65;
10.11.2017; 1484.25;   2251.21;
09.11.2017; 1491.15;   2261.67;
08.11.2017; 1507.22;   2286.04;
07.11.2017; 1500.57;   2275.96;
06.11.2017; 1508.49;   2287.97;
03.11.2017; 1514.62;   2297.27;
02.11.2017; 1509.83;   2290.01;
01.11.2017; 1506.04;   2284.26;
31.10.2017; 1504.96;   2282.62;
30.10.2017; 1496.43;   2269.69;
27.10.2017; 1500.38;   2275.67;
26.10.2017; 1503.38;   2280.22;
25.10.2017; 1482.50;   2248.56;
24.10.2017; 1491.97;   2262.92;
23.10.2017; 1497.72;   2271.63;
20.10.2017; 1493.22;   2264.81;
19.10.2017; 1486.55;   2254.70;
18.10.2017; 1495.99;   2269.01;
17.10.2017; 1490.09;   2260.06;
16.10.2017; 1491.58;   2262.33;
13.10.2017; 1499.60;   2274.49;
12.10.2017; 1496.98;   2270.52;
11.10.2017; 1490.40;   2260.54;
10.10.2017; 1491.07;   2261.55;
09.10.2017; 1487.35;   2255.91;
06.10.2017; 1485.91;   2253.72;
05.10.2017; 1489.77;   2259.57;
04.10.2017; 1490.37;   2260.49;
03.10.2017; 1489.48;   2259.14;
02.10.2017; 1482.02;   2247.82;
29.09.2017; 1473.53;   2234.96;
28.09.2017; 1463.53;   2219.78;
27.09.2017; 1457.53;   2210.68;
26.09.2017; 1456.38;   2208.93;
25.09.2017; 1464.76;   2221.65;
22.09.2017; 1469.21;   2228.02;
21.09.2017; 1468.26;   2226.57;
20.09.2017; 1461.25;   2215.94;
19.09.2017; 1461.27;   2213.97;
18.09.2017; 1453.37;   2202.01;
15.09.2017; 1448.06;   2193.95;
14.09.2017; 1455.70;   2205.53;
13.09.2017; 1452.81;   2201.15;
12.09.2017; 1453.40;   2202.05;
11.09.2017; 1438.62;   2179.66;
08.09.2017; 1421.43;   2153.61;
07.09.2017; 1418.86;   2149.71;
06.09.2017; 1411.78;   2138.98;
05.09.2017; 1413.62;   2141.78;
04.09.2017; 1416.20;   2145.69;
01.09.2017; 1427.32;   2162.53;
31.08.2017; 1422.29;   2154.92;
30.08.2017; 1413.62;   2141.78;
29.08.2017; 1404.39;   2127.79;
28.08.2017; 1417.97;   2148.36;
25.08.2017; 1424.85;   2158.79;
24.08.2017; 1428.85;   2164.85;
23.08.2017; 1429.17;   2165.34;
22.08.2017; 1431.25;   2168.48;
21.08.2017; 1417.92;   2148.29;
18.08.2017; 1416.40;   2145.99;
17.08.2017; 1427.23;   2162.40;
16.08.2017; 1441.18;   2183.53;
15.08.2017; 1436.39;   2176.28;
14.08.2017; 1438.92;   2180.10;
11.08.2017; 1415.77;   2145.03;
10.08.2017; 1426.20;   2160.83;
09.08.2017; 1441.70;   2184.32;
08.08.2017; 1464.31;   2218.58;
07.08.2017; 1464.65;   2219.09;
04.08.2017; 1467.25;   2223.04;
03.08.2017; 1461.75;   2214.69;
02.08.2017; 1458.71;   2210.09;
31.07.2017; 1445.89;   2190.66;
28.07.2017; 1440.55;   2182.58;
27.07.2017; 1440.78;   2182.92;
26.07.2017; 1433.33;   2171.64;
25.07.2017; 1422.80;   2155.68;
24.07.2017; 1415.07;   2143.98;
21.07.2017; 1418.50;   2149.17;
20.07.2017; 1432.14;   2169.84;
19.07.2017; 1432.85;   2170.31;
18.07.2017; 1426.70;   2161.00;
17.07.2017; 1436.97;   2176.55;
14.07.2017; 1433.90;   2171.91;
13.07.2017; 1429.81;   2165.72;
12.07.2017; 1429.76;   2165.63;
11.07.2017; 1410.75;   2136.84;
10.07.2017; 1421.01;   2152.38;
07.07.2017; 1413.22;   2140.58;
06.07.2017; 1410.17;   2135.96;
05.07.2017; 1420.73;   2151.96;
04.07.2017; 1419.95;   2150.77;
03.07.2017; 1424.32;   2157.39;
30.06.2017; 1404.21;   2126.94;
29.06.2017; 1407.31;   2131.63;
28.06.2017; 1422.25;   2154.26;
27.06.2017; 1423.05;   2155.47;
26.06.2017; 1427.81;   2162.68;
23.06.2017; 1421.40;   2152.97;
22.06.2017; 1425.35;   2158.95;
21.06.2017; 1421.86;   2153.67;
20.06.2017; 1424.91;   2158.29;
19.06.2017; 1429.71;   2165.56;
16.06.2017; 1417.73;   2147.41;
15.06.2017; 1401.13;   2122.27;
14.06.2017; 1404.49;   2126.91;
13.06.2017; 1405.87;   2129.00;
12.06.2017; 1394.63;   2111.98;
09.06.2017; 1402.82;   2124.38;
08.06.2017; 1394.51;   2111.79;
07.06.2017; 1401.63;   2122.57;
06.06.2017; 1404.03;   2126.21;
02.06.2017; 1423.90;   2156.30;
01.06.2017; 1420.29;   2150.83;
31.05.2017; 1416.71;   2145.41;
