"CubeId";"devkum"
"PublishingDate";"2019-09-02 14:30"

"Date";"D0";"D1";"Value"
"2002-01";"M1";"GBP1";"2.4106"
"2002-01";"M1";"USD1";"1.7077"
"2002-01";"M1";"BRL100";"70.2"
"2002-01";"M1";"ZAR1";"0.1492"
"2002-01";"M1";"JPY100";"1.2845"
"2002-01";"M1";"HKD100";"21.8947"
"2002-02";"M1";"EUR1";"1.4766"
"2002-02";"M1";"GBP1";"2.4188"
"2002-02";"M1";"USD1";"1.7052"
"2002-02";"M1";"BRL100";"72.3"
"2002-02";"M1";"ZAR1";"0.1488"
"2002-02";"M1";"JPY100";"1.2742"
"2002-02";"M1";"HKD100";"21.8632"
"2002-03";"M1";"EUR1";"1.4656"
"2002-03";"M1";"GBP1";"2.3925"
"2002-03";"M1";"USD1";"1.6806"
"2002-03";"M1";"BRL100";"72.3"
"2002-03";"M1";"ZAR1";"0.1473"
"2002-03";"M1";"JPY100";"1.2676"
"2002-03";"M1";"HKD100";"21.547"
"2002-04";"M1";"EUR1";"1.4636"
"2002-04";"M1";"GBP1";"2.3614"
"2002-04";"M1";"USD1";"1.6204"
"2002-04";"M1";"BRL100";"68.5"
"2002-04";"M1";"ZAR1";"0.1523"
"2002-04";"M1";"JPY100";"1.2661"
"2002-04";"M1";"HKD100";"20.7765"
"2002-05";"M1";"EUR1";"1.4635"
"2002-05";"M1";"GBP1";"2.2887"
"2002-05";"M1";"USD1";"1.5613"
"2002-05";"M1";"BRL100";"62.1"
"2002-05";"M1";"ZAR1";"0.16"
"2002-05";"M1";"JPY100";"1.2611"
"2002-05";"M1";"HKD100";"20.0169"
"2002-06";"M1";"EUR1";"1.4725"
"2002-06";"M1";"GBP1";"2.2721"
"2002-06";"M1";"USD1";"1.4835"
"2002-06";"M1";"BRL100";"52.5"
"2002-06";"M1";"ZAR1";"0.1426"
"2002-06";"M1";"JPY100";"1.245"
"2002-06";"M1";"HKD100";"19.0195"
"2002-07";"M1";"EUR1";"1.4547"
"2002-07";"M1";"GBP1";"2.3261"
"2002-07";"M1";"USD1";"1.4864"
"2002-07";"M1";"BRL100";"44.3"
"2002-07";"M1";"ZAR1";"0.146"
"2002-07";"M1";"JPY100";"1.2425"
"2002-07";"M1";"HKD100";"19.0564"
"2002-08";"M1";"EUR1";"1.4688"
"2002-08";"M1";"GBP1";"2.3178"
"2002-08";"M1";"USD1";"1.4914"
"2002-08";"M1";"BRL100";"48.5"
"2002-08";"M1";"ZAR1";"0.14"
"2002-08";"M1";"JPY100";"1.2641"
"2002-08";"M1";"HKD100";"19.12"
"2002-09";"M1";"EUR1";"1.4637"
"2002-09";"M1";"GBP1";"2.327"
"2002-09";"M1";"USD1";"1.4885"
"2002-09";"M1";"BRL100";"38.4"
"2002-09";"M1";"ZAR1";"0.1406"
"2002-09";"M1";"JPY100";"1.2226"
"2002-09";"M1";"HKD100";"19.0838"
"2002-10";"M1";"EUR1";"1.4627"
"2002-10";"M1";"GBP1";"2.3116"
"2002-10";"M1";"USD1";"1.4823"
"2002-10";"M1";"BRL100";"40"
"2002-10";"M1";"ZAR1";"0.1472"
"2002-10";"M1";"JPY100";"1.2091"
"2002-10";"M1";"HKD100";"19.0043"
