symbol,inception
JPED,2017-11-30
IZRL,2017-11-30
JPMF,2017-11-30
SPDV,2017-11-28
EEMD,2017-11-28
CLIX,2017-11-14
EMTY,2017-11-14
OMFL,2017-11-08
OMFS,2017-11-08
OMOM,2017-11-08
OQAL,2017-11-08
OSIZ,2017-11-08
OVLU,2017-11-08
OVOL,2017-11-08
OYLD,2017-11-08
VTC,2017-11-09
PXUS,2017-11-08
JVAL,2017-11-08
JQUA,2017-11-08
JMOM,2017-11-08
JMIN,2017-11-08
JDIV,2017-11-08
JHSC,2017-11-08
ENTR,2017-11-08
EMEM,2017-11-07
DIVB,2017-11-07
FLMX,2017-11-03
FLBR,2017-11-03
FLGB,2017-11-02
FLTW,2017-11-02
FLKR,2017-11-02
FLJH,2017-11-02
FLJP,2017-11-02
FLIY,2017-11-02
FLHK,2017-11-02
FLGR,2017-11-02
FLFR,2017-11-02
FLEH,2017-11-02
FLEE,2017-11-02
FLCH,2017-11-02
FLCA,2017-11-02
FLAU,2017-11-02
SDVY,2017-11-01
FMHI,2017-11-01
BIBL,2017-10-31
RVRS,2017-10-31
FTVA,2017-10-31
FFSG,2017-10-31
FFTG,2017-10-31
GUDB,2017-10-30
EURZ,2017-10-27
GRMY,2017-10-27
CEY,2017-10-26
USHY,2017-10-25
ULVM,2017-10-24
USVM,2017-10-24
UIVM,2017-10-24
UEVM,2017-10-24
USTB,2017-10-24
UITB,2017-10-24
PVAL,2017-10-18
PMOM,2017-10-18
AIEQ,2017-10-18
MMIN,2017-10-18
MMIT,2017-10-18
GOP,2017-10-17
DEMS,2017-10-17
TAXR,2017-10-17
BERN,2017-10-16
BRGL,2017-10-16
LOGO,2017-10-16
KGRN,2017-10-13
KEMQ,2017-10-12
DIAL,2017-10-12
USMC,2017-10-11
SCHK,2017-10-11
VGFO,2017-10-10
CHGX,2017-10-06
LFEQ,2017-10-04
NUBD,2017-09-29
PBND,2017-09-29
DALT,2017-09-28
HTRB,2017-09-27
BSCR,2017-09-27
BSJP,2017-09-27
PBDM,2017-09-22
PBEE,2017-09-22
PBSM,2017-09-22
PBTP,2017-09-22
PBUS,2017-09-22
RBIN,2017-09-15
RBUS,2017-09-15
MXDU,2017-09-15
DBRT,2017-09-14
UBRT,2017-09-14
MLQD,2017-09-14
LLQD,2017-09-14
IBDS,2017-09-14
GSEW,2017-09-12
PFFD,2017-09-11
XNTK,2017-09-11
OBOR,2017-09-07
MAGA,2017-09-07
GHYB,2017-09-05
